Rule ID,N°,Référentiel,Score par défaut,Critère technique,Libellé,Explication,Libellé v_EN,Explication v_EN,Critère technique v_EN
ISCN.BALANCED_T,11_ISCN,ISCN 2024,1,"Le code traite d'abord une anomalie écrite t(...). Il extrait les chromosomes de la translocation, par exemple t(9;22) donne la clé {9,22}. Ensuite il cherche dans le même clone des der(...)/ider(...) qui portent la même translocation. La règle équilibrée est retenue seulement s'il existe au moins deux chromosomes d'ancrage différents, au moins un der(...), et des points de cassure absents ou identiques, sans '?' dans les cassures. Score 1.",Translocation équilibrée,Translocation avec dérivés réciproques compatibles.,Balanced translocation,Translocation with compatible reciprocal derivatives.,Detection criterion: Translocation with compatible reciprocal derivatives. Default score: 1.
ISCN.UNBALANCED_T,12_ISCN,ISCN 2024,2,"Le code part aussi d'une anomalie t(...). Il extrait la même clé chromosomique que pour BALANCED_T. Si une relation avec un dérivé du même clone existe, mais que les critères d'équilibre ne sont pas remplis (ancrages insuffisants, cassures discordantes ou incertaines), la translocation est considérée déséquilibrée. Score 2.",Translocation déséquilibrée,Translocation non équilibrée détectée explicitement.,Unbalanced translocation,Explicitly detected unbalanced translocation.,Detection criterion: Explicitly detected unbalanced translocation. Default score: 2.
ISCN.T_ALREADY_IN_DER,13_ISCN,ISCN 2024,0,"Quand une translocation t(...) est écrite explicitement, le code vérifie si un der(...) du même clone contient déjà une t(...) avec exactement les mêmes chromosomes. Exemple: t(9;22) et der(22)t(9;22) dans le même clone. Si oui, la translocation explicite vaut 0 car elle est déjà représentée par le dérivé.",Translocation déjà comptée,Translocation explicite déjà incluse dans un chromosome dérivé.,Translocation already counted,Explicit translocation already included in a derivative chromosome.,Detection criterion: Explicit translocation already included in a derivative chromosome. Default score: 0.
ISCN.IMPLICIT,14_ISCN,ISCN 2024,0,"Le code cherche si l'anomalie est déjà expliquée par une autre anomalie de référence. Il normalise les écritures, compare les répétitions structurales del/dup/add/ins/inv avec points de cassure compatibles, repère les gains/pertes simples expliqués par un dérivé multi-chromosomique, et regroupe certains dérivés qui impliquent le même ensemble de chromosomes. Si une référence existe, cette anomalie vaut 0 pour éviter un double comptage.",Anomalie implicite,Anomalie déjà expliquée par une anomalie de référence.,Implicit anomaly,Anomaly already explained by a reference anomaly.,Detection criterion: Anomaly already explained by a reference anomaly. Default score: 0.
ISCN.STRUCTURAL_GAIN_DUPLICATE,15_ISCN,ISCN 2024,1,"Le code ne regarde cette règle que si l'anomalie commence par '+'. Il enlève le '+' et la multiplicité éventuelle xN/×N, puis obtient une base structurale comme der(...), dic(...), del(...), dup(...), inv(...), ins(...), add(...), i(...), ider(...), idic(...) ou r(...). Il cherche si la même base structurale est déjà apparue avant dans la formule. Si oui, le '+' correspond à un gain d'une anomalie structurale déjà décrite. Score 1.",Gain structural dupliqué,Gain d'une anomalie structurale déjà décrite.,Gain of an existing structural anomaly,Additional copy of a structural anomaly already described.,Detection criterion: Additional copy of a structural anomaly already described. Default score: 1.
ISCN.SEMANTIC_PLUS_ISO,16_ISCN,ISCN 2024,2,"Le code traite une anomalie commençant par '+'. Après retrait du '+', si la base commence par i(...), il interprète '+i(...)' comme deux informations: gain du chromosome concerné plus isochromosome. Score 2.",Gain d'isochromosome,Notation +i(...) interprétée comme gain chromosomique plus isochromosome.,Chromosome gain with isochromosome,The +i(...) notation combines a chromosome gain and an isochromosome.,Detection criterion: The +i(...) notation combines a chromosome gain and an isochromosome. Default score: 2.
ISCN.SEMANTIC_PLUS_DEL,17_ISCN,ISCN 2024,2,"Le code traite une anomalie commençant par '+'. Après retrait du '+', si la base commence par del(...), il interprète '+del(...)' comme deux informations: gain du chromosome concerné plus délétion. Score 2.",Gain de chromosome délété,Notation +del(...) interprétée comme gain chromosomique plus délétion.,Chromosome gain with deletion,The +del(...) notation combines a chromosome gain and a deletion.,Detection criterion: The +del(...) notation combines a chromosome gain and a deletion. Default score: 2.
ISCN.MAR,18_ISCN,ISCN 2024,1,"Le code enlève d'abord le signe '+' ou '-' et une multiplicité finale xN/×N. Il met en minuscules puis teste si la base commence par 'mar' ou finit par 'mar'. Il reconnaît aussi les quantités implicites: '+2mar' signifie deux marqueurs, '+1~3mar' prend le maximum 3, '+mar1x2' signifie le marqueur 1 répété deux fois. Chaque marqueur retenu est scoré selon la logique marqueur.",Marqueur,Chromosome marqueur.,Marker chromosome,"Marker chromosome, including quantified forms.","Detection criterion: Marker chromosome, including quantified forms. Default score: 1."
ISCN.DICENTRIC,19_ISCN,ISCN 2024,2,"Après normalisation, retrait du signe et retrait d'une multiplicité xN/×N, le code teste simplement si le texte commence par 'dic'. Cela correspond à une notation de chromosome dicentrique, par exemple dic(9;20). Score 2.",Chromosome dicentrique,Chromosome dicentrique compté comme remaniement complexe.,Dicentric chromosome,Anomaly identified as a dicentric chromosome.,Detection criterion: Anomaly identified as a dicentric chromosome. Default score: 2.
ISCN.JUMPING_TRANSLOCATION_SECONDARY,20_ISCN,ISCN 2024,1,"Le code compare les der(...)t(...) présents dans des sous-clones différents. Il associe chaque chromosome de t(...) à son point de cassure. Lorsque plusieurs translocations déséquilibrées partagent le même chromosome et exactement le même point de cassure, mais utilisent des chromosomes partenaires différents, la première conserve son score normal et chaque occurrence secondaire vaut 1 point. Les points de cassure incertains contenant '?' sont exclus.",Occurrence secondaire d'une translocation sauteuse,Dérivé secondaire partageant le même chromosome donneur et le même point de cassure dans un autre sous-clone.,Secondary jumping translocation occurrence,Secondary derivative sharing the same donor chromosome and breakpoint in another subclone.,Detection criterion: Secondary derivative sharing the same donor chromosome and breakpoint in another subclone. Default score: 1.
ISCN.T_VIA_DER_BALANCED,21_ISCN,ISCN 2024,1,"Si l'anomalie est un der(...) contenant une t(...), le code extrait les chromosomes de cette t(...), vérifie qu'au moins deux chromosomes connus sont présents, sans '?', et que la translocation n'a pas déjà été comptée. Si la même clé de translocation est reconnue comme équilibrée dans le clone, le dérivé sert à compter une translocation équilibrée. Score 1.",Translocation équilibrée via dérivé,Translocation équilibrée comptée à partir d'un chromosome dérivé.,Balanced translocation via derivative,Balanced translocation counted from a derivative chromosome.,Detection criterion: Balanced translocation counted from a derivative chromosome. Default score: 1.
ISCN.T_VIA_DER_UNBALANCED,22_ISCN,ISCN 2024,2,"Même détection que T_VIA_DER_BALANCED, mais la clé de translocation portée par le dérivé n'est pas reconnue comme équilibrée dans le clone. Le dérivé sert donc à compter une translocation déséquilibrée. Score 2.",Translocation déséquilibrée via dérivé,Translocation déséquilibrée comptée à partir d'un chromosome dérivé.,Unbalanced translocation via derivative,Unbalanced translocation counted from a derivative chromosome.,Detection criterion: Unbalanced translocation counted from a derivative chromosome. Default score: 2.
ISCN.DER_T_COUNTED,23_ISCN,ISCN 2024,0,"Pour un der(...) contenant une t(...), le code regarde si la même translocation a déjà été comptée dans le clone. Il compare une clé composée des chromosomes de t(...), par exemple {9,22}. Si cette clé est déjà présente dans les translocations explicites ou déjà comptées, le dérivé vaut 0 pour éviter de compter deux fois le même événement.",Dérivé associé déjà compté,Dérivé associé à une translocation déjà comptabilisée.,Associated derivative already counted,Derivative associated with a translocation that has already been counted.,Detection criterion: Derivative associated with a translocation that has already been counted. Default score: 0.
ISCN.DER_BALANCED_T,24_ISCN,ISCN 2024,0,"Le code identifie un der(...) qui fait partie d'une translocation équilibrée déjà reconstruite par paire de dérivés. Il vérifie aussi que le dérivé ne contient pas de composant additionnel comme add(...), del(...), dup(...), ins(...), inv(...) ou r(...). Si c'est juste la représentation du dérivé équilibré déjà pris en compte, score 0.",Dérivé de translocation équilibrée,Dérivé issu d'une translocation équilibrée déjà représentée.,Balanced-translocation derivative,Derivative originating from an already represented balanced translocation.,Detection criterion: Derivative originating from an already represented balanced translocation. Default score: 0.
ISCN.DER_NO_BREAKPOINT,25_ISCN,ISCN 2024,1,"Le code applique la regex ^der\([^)]+\)$ sur la base sans signe ni multiplicité. Elle veut dire: début du texte (^), puis 'der(', puis au moins un caractère qui n'est pas ')' ([^)]+), puis ')', puis fin du texte ($). Donc der(7) passe, mais der(7)(p10q10) ne passe pas car il contient une seconde parenthèse de cassure. Score 1.",Dérivé sans cassure,Chromosome dérivé sans point de cassure détaillé.,Derivative without a detailed breakpoint,Derivative chromosome without a detailed breakpoint.,Detection criterion: Derivative chromosome without a detailed breakpoint. Default score: 1.
ISCN.DER_MULTI,26_ISCN,ISCN 2024,2,"Pour un der(...), le code extrait les chromosomes mentionnés après des mots-clés comme der, dic, del, dup, ins, t, i, ider, idic ou r, et aussi les chromosomes écrits dans la seconde parenthèse des dérivés. Les '?' sont exclus du compte des chromosomes connus. Si au moins deux chromosomes connus sont trouvés et que la notation n'est pas incertaine, le dérivé est multi-chromosomique. Score 2.",Dérivé multichromosomique,Chromosome dérivé impliquant au moins deux chromosomes identifiés.,Multi-chromosome derivative,Derivative involving several identified chromosomes.,Detection criterion: Derivative involving several identified chromosomes. Default score: 2.
ISCN.DER_MULTI_UNCERTAIN,27_ISCN,ISCN 2024,2,"Même extraction que DER_MULTI, mais le texte contient un '?'. Le code garde la règle multi-chromosomique si au moins deux chromosomes connus sont présents, tout en signalant que la notation est incertaine. Score 2, avec une explication d'imprécision.",Dérivé multichromosomique incertain,Dérivé impliquant plusieurs chromosomes avec positions incertaines.,Uncertain multi-chromosome derivative,Derivative involving several chromosomes with uncertain notation.,Detection criterion: Derivative involving several chromosomes with uncertain notation. Default score: 2.
ISCN.DER_UNCERTAIN_SECOND,28_ISCN,ISCN 2024,1,"Pour un der(...), le code extrait les chromosomes connus et cherche le caractère '?'. Si un seul chromosome certain est retrouvé mais qu'un '?' est présent, le code comprend qu'un second chromosome pourrait être impliqué sans certitude. Score 1.",Dérivé avec second chromosome incertain,Dérivé sans certitude sur l'implication d'un second chromosome.,Derivative with an uncertain second chromosome,Derivative that may involve a second chromosome that cannot be identified with certainty.,Detection criterion: Derivative that may involve a second chromosome that cannot be identified with certainty. Default score: 1.
ISCN.DER_SAME_CHR,29_ISCN,ISCN 2024,1,"Cette règle est le cas restant pour der(...). Elle arrive après exclusion des translocations déjà traitées, des der(...) sans cassure, des dérivés multi-chromosomiques et des dérivés avec second chromosome incertain. Le code considère alors que le dérivé concerne le même chromosome ou un remaniement intrachromosomique. Score 1.",Dérivé intrachromosomique,Chromosome dérivé issu du même chromosome.,Same-chromosome derivative,Derivative involving a single chromosome or an intrachromosomal rearrangement.,Detection criterion: Derivative involving a single chromosome or an intrachromosomal rearrangement. Default score: 1.
ISCN.SINGLE_CHR_GAIN_REPEAT,30_ISCN,ISCN 2024,2,"Le code détecte une anomalie commençant par '+' répétée plus d'une fois après normalisation, par exemple deux occurrences de +8. Cela correspond à un gain répété du même chromosome. Score 2, plafonné pour éviter de multiplier artificiellement le score par le nombre d'occurrences.",Gain chromosomique répété,Plusieurs gains du même chromosome dans la formule.,Repeated single-chromosome gain,Repeated gain of the same chromosome.,Detection criterion: Repeated gain of the same chromosome. Default score: 2.
ISCN.SINGLE_CHR_TRIPLICATION,31_ISCN,ISCN 2024,2,"Après retrait éventuel du signe et normalisation, le code teste si l'anomalie commence par 'trp'. Cela correspond à une triplication. Score 2.",Triplication,Anomalie de triplication d'un chromosome ou segment.,Triplication,Triplication involving a single chromosome.,Detection criterion: Triplication involving a single chromosome. Default score: 2.
ISCN.SINGLE_CHR_ISODERIVATIVE,32_ISCN,ISCN 2024,2,"Après normalisation, le code teste si l'anomalie commence par 'ider'. Cela correspond à un chromosome isodérivé ou isodicentrique. Score 2.",Isodérivé,Chromosome isodérivé ou isodicentrique.,Isoderivative chromosome,Isoderivative or isodicentric chromosome.,Detection criterion: Isoderivative or isodicentric chromosome. Default score: 2.
ISCN.COMPLEX_MULTI_CHR,33_ISCN,ISCN 2024,2,"Le code extrait d'abord les chromosomes connus. S'il y en a zéro ou un, la règle ne s'applique pas. S'il y en a au moins deux, il teste ensuite des formes déséquilibrées complexes: dic(...), r(...), insertion non équilibrée, ou translocation non équilibrée. Pour der(...), il exclut d'abord les formes der(...) sans cassure car elles ne prouvent pas clairement plusieurs chromosomes. Score 2.",Déséquilibre multichromosomique,Anomalie déséquilibrée impliquant plusieurs chromosomes.,Complex multi-chromosome anomaly,Unbalanced anomaly involving several chromosomes.,Detection criterion: Unbalanced anomaly involving several chromosomes. Default score: 2.
ISCN.UNBALANCED_TRANSLOCATION,34_ISCN,ISCN 2024,2,"Le code considère deux situations. Première situation: le texte contient der(...) ou dic(...) et contient aussi t(...), donc une translocation portée par un dérivé/dicentrique. Deuxième situation: le texte contient t(...) mais n'est pas une translocation pure équilibrée de forme t(chromosome;chromosome)(points de cassure), sans der, sans '+' et sans '-'. Score 2.",Translocation déséquilibrée,Translocation non pure ou portée par un dérivé.,Unbalanced translocation,Non-pure translocation or translocation carried by a derivative.,Detection criterion: Non-pure translocation or translocation carried by a derivative. Default score: 2.
ISCN.GAIN_SIMPLE,35_ISCN,ISCN 2024,1,"Cette règle arrive tard. Si aucune règle plus spécifique n'a retenu l'anomalie et que le texte normalisé commence par '+', le code la considère comme gain chromosomique simple. Score 1.",Gain simple,Gain chromosomique simple.,Simple gain,Simple chromosome gain.,Detection criterion: Simple chromosome gain. Default score: 1.
ISCN.LOSS_SIMPLE,36_ISCN,ISCN 2024,1,"Cette règle arrive tard. Si aucune règle plus spécifique n'a retenu l'anomalie et que le texte normalisé commence par '-', le code la considère comme perte chromosomique simple. Score 1.",Perte simple,Perte chromosomique simple.,Simple loss,Simple chromosome loss.,Detection criterion: Simple chromosome loss. Default score: 1.
ISCN.OTHER_STANDARD,37_ISCN,ISCN 2024,1,"Dernier recours ISCN. Si l'anomalie n'est pas constitutionnelle, pas répétée, pas implicite, pas marqueur, pas dérivé traité, pas déséquilibre identifié par les règles précédentes, le code applique le score standard. Score 1.",Autre anomalie standard,Anomalie non constitutionnelle non couverte par une règle plus spécifique.,Other standard anomaly,Non-constitutional anomaly not covered by a more specific rule.,Detection criterion: Non-constitutional anomaly not covered by a more specific rule. Default score: 1.
JON.ABSENT_IN_REPEAT_ZERO,1_JON,Jondreville 2020,0,Même source que ISCN.ABSENT_IN_REPEAT_ZERO: anomalie héritée d'un clone précédent puis indiquée absente dans le clone courant. zeroed_reasons impose score_override=0. Score 0.,Absence dans un clone répété,Anomalie indiquée absente dans un clone secondaire et déjà comptée auparavant.,Absent in a repeated clone,An anomaly explicitly absent from a secondary clone and already counted previously.,Detection criterion: An anomaly explicitly absent from a secondary clone and already counted previously. Default score: 0.
JON.ABSENT_IN_REPEAT_IMPLICIT_LOSS,2_JON,Jondreville 2020,1,Même source que ISCN.ABSENT_IN_REPEAT_IMPLICIT_LOSS: absence d'une anomalie structurale interprétée comme perte chromosomique implicite dans un clone répété. zeroed_reasons impose score_override=1. Score 1.,Perte implicite dans un clone répété,Absence d'une anomalie structurale interprétée comme perte chromosomique implicite.,Implicit loss in a repeated clone,Absence of a structural anomaly interpreted as an implicit chromosome loss.,Detection criterion: Absence of a structural anomaly interpreted as an implicit chromosome loss. Default score: 1.
JON.CONSTITUTIONAL_GAIN,3_JON,Jondreville 2020,0,"Même détection que ISCN.CONSTITUTIONAL_GAIN: regex ^\+\d+c$, c'est-à-dire '+', puis un ou plusieurs chiffres, puis 'c' en fin de texte. Exemple '+8c'. Jondreville attribue 0 point.",Gain constitutionnel,Gain chromosomique annoté constitutionnel.,Constitutional gain,Chromosome gain annotated as constitutional.,Detection criterion: Chromosome gain annotated as constitutional. Default score: 0.
JON.CONSTITUTIONAL_SUSPECT,4_JON,Jondreville 2020,0,Même détection que ISCN.CONSTITUTIONAL_SUSPECT: le texte normalisé finit par '?c'. Le code distingue ce cas pour afficher une explication clinique spécifique à une suspicion constitutionnelle. Score 0.,Suspicion constitutionnelle,Anomalie annotée comme possiblement constitutionnelle.,Suspected constitutional anomaly,Anomaly annotated as possibly constitutional.,Detection criterion: Anomaly annotated as possibly constitutional. Default score: 0.
JON.CONSTITUTIONAL_CERTAIN,5_JON,Jondreville 2020,0,"Même détection que ISCN.CONSTITUTIONAL_CERTAIN: le texte normalisé finit par 'c', hors cas '+<nombre>c' et '?c' déjà traités. Score 0.",Anomalie constitutionnelle certaine,Anomalie annotée constitutionnelle.,Confirmed constitutional anomaly,Anomaly annotated as constitutional.,Detection criterion: Anomaly annotated as constitutional. Default score: 0.
JON.REPEAT_NOTATION,6_JON,Jondreville 2020,0,"Même logique que ISCN.REPEAT_NOTATION. Le code reconnaît 'idem' ou les formes sl/sdl avec numéro optionnel par la regex ^(?:sl|sdl)\d*$. Ce sont des renvois à un clone précédent, pas de nouvelles anomalies à scorer. Score 0.",Notation de répétition,Notation idem/sl/sdl déjà portée par un clone précédent.,Repeat notation,idem/sl/sdl notation already represented by a previous clone.,Detection criterion: idem/sl/sdl notation already represented by a previous clone. Default score: 0.
JON.IMPLICIT,7_JON,Jondreville 2020,0,"Pour Jondreville, le code ne met à 0 que les anomalies classées comme 'Duplication avec l'anomalie de référence'. Cela évite de recompter une anomalie déjà représentée dans un clone ou une anomalie structurale précédente. Les autres implicites ne sont pas tous traités de la même façon qu'en ISCN.",Anomalie implicite,Duplication avec une anomalie de référence.,Implicit anomaly,Duplication of a reference anomaly.,Detection criterion: Duplication of a reference anomaly. Default score: 0.
JON.MAR,8_JON,Jondreville 2020,1,"Même détection technique que ISCN.MAR: retrait du signe et de la multiplicité, passage en minuscules, puis test 'commence par mar' ou 'finit par mar'. Les marqueurs sont reconnus même dans des formes quantifiées comme +2mar ou +mar1x2. Score 1 par règle Jondreville.",Marqueur,Chromosome marqueur.,Marker chromosome,Marker chromosome.,Detection criterion: Marker chromosome. Default score: 1.
JON.TRIPLOIDY,9_JON,Jondreville 2020,0,"Après normalisation complète, le code compare exactement le texte à 'triploidy' en minuscules. Il n'utilise pas de synonymes ni de regex ici: seule cette chaîne exacte déclenche la règle. Score 0 dans le calcul Jondreville.",Triploïdie,Triploïdie ignorée dans le calcul Jondreville.,Triploidy,Triploidy excluded from the Jondreville count.,Detection criterion: Triploidy excluded from the Jondreville count. Default score: 0.
JON.DEFAULT,10_JON,Jondreville 2020,1,"Dernier recours Jondreville. Si aucune règle précédente ne s'applique, donc pas constitutionnel, pas répétition, pas implicite retenu, pas marqueur et pas triploïdie, le code compte l'anomalie comme anomalie non constitutionnelle standard. Score 1.",Anomalie non constitutionnelle,Chaque anomalie non constitutionnelle vaut un point.,Non-constitutional anomaly,Each non-constitutional anomaly counts as one point.,Detection criterion: Each non-constitutional anomaly counts as one point. Default score: 1.
